Dutch Word,English Word,Frequency
blauwe,blue,12465
stukje,piece,12436
vermist,missing,12435
zorgt,worries,12429
gat,hole,12410
ouder,older,12410
kate,Kate,12405
schrijf,writing,12400
schreef,wrote,12398
wens,wish,12397
geslagen,beaten,12397
parijs,Paris,12394
toevallig,chance,12377
leiding,pipe,12359
edelachtbare,prevailable,12356
bouwen,to build,12347
geweten,known,12329
heilige,holy,12320
restaurant,restaurant,12303
sterft,dies,12296
toegang,access,12292
verbergen,hide,12280
draait,turns,12278
leidt,leading,12262
armen,poor,12255
luke,Luke,12254
taak,task,12244
ware,true,12221
lab,lab,12191
misdaad,crime,12189
nadenken,think it over,12173
vakantie,holidays,12172
behoorlijk,fairly,12165
sleutels,Keys,12150
video,video,12131
levens,lifetime,12121
geniet,enjoy,12104
draaien,to turn,12088
vertrek,departure,12082
betreft,Re,12051
eric,Eric,12044
slot,key lock,12032
ms,ms,12018
verpest,ruined,12014
proces,process,12012
opdracht,assignment,12009
programma,program,12007
klote,lick,11994
leider,leader,11986
actie,action,11974
waardoor,as a result of which,11962
antwoorden,answer,11961
gezeten,sitting,11950
bruiloft,wedding,11933
vorm,form,11902
woon,living,11896
directeur,director,11881
cliënt,client,11811
goedenavond,good evening,11797
advies,advice,11797
hoewel,although,11793
eddie,Eddie,11790
chris,Chris,11763
uren,hours,11757
welterusten,good night,11756
tijden,times,11749
volwassen,grown up,11743
vuile,dirty,11739
majoor,major,11718
radio,radio,11705
aangenaam,nice to meet you,11704
drankje,drink,11688
maan,Moon,11687
kregen,got,11668
gemakkelijk,easy,11666
vergeef,forgery,11664
klas,class,11655
krant,newspaper,11649
langzaam,slowly,11641
kosten,cost,11641
martin,Martin,11630
procent,per cent,11617
mist,fog,11610
pad,path,11602
vrijheid,freedom,11593
verdwijnen,to disappear,11590
gelogen,lied,11578
beweging,movement,11561
twijfel,doubt,11555
neef,cousin,11541
gemeen,mean,11511
fles,bottle,11498
dol,foolish,11497
draag,carry,11491
vis,fish,11485
waarover,about what,11484
rood,red,11477
hersenen,brain,11459
der,of,11458
verloor,lost,11449
taxi,cab,11440
voorkomen,prevent,11440
medicijnen,medicines,11433
okay,Okay,11414
binnenkort,soon,11407
doos,box,11406
terecht,justly,11403
mening,opinion,11395
geweer,gun,11387
bezit,possess,11370
top,top,11364
wonder,wonder,11343
vergeven,to forgive,11321
stopt,stops,11309
hopen,to hope,11276
thomas,Thomas,11269
ophalen,to pick up,11268
wind,wind,11267
oplossen,to resolve,11265
jaloers,jealous,11264
kevin,Kevin,11259
rachel,rachel,11259
onmiddellijk,immediately,11237
gedrag,behaviour,11226
charles,Charles,11225
stemmen,to vote,11212
ontbijt,breakfast,11199
lol,LOL,11182
walter,Walter,11179
honden,dog,11163
ontvangen,receive,11162
verhalen,stories,11157
rivier,river,11155
twaalf,twelve,11155
voedsel,food,11152
gauw,quickly,11151
volgt,follow,11145
vaker,more often,11139
adam,Adam,11133
keren,turn,11126
klanten,customers,11115
chef,chef,11114
wint,win,11108
brian,Brian,11108
minuut,minute,11108
anna,Anna,11096
detective,detective,11095
verraden,betray,11091
don,Don,11075
geweld,violence,11059
akkoord,agreement,11046
tonen,to show,11039
genoemd,called,11032
gewone,ordinary,11032
papieren,paper,11022
verband,bandage,11011
hoopte,hoped,11005
rare,strange,11003
brug,bridge,10998
jas,jacket,10995
bloemen,flowers,10994
daniel,Daniel,10992
trap,staircase,10991
mijnheer,Sir,10988
aanvallen,to attack,10983
leer,doctrine,10974
street,street,10973
opnemen,to withdraw,10973
robert,Robert,10971
schade,injury,10968
blijkt,turns out,10943
bijzonder,special,10924
huid,skin,10908
krachten,forces,10899
zakken,to fail,10887
openen,to open,10886
arts,doctor,10860
hoer,whore,10847
gestoord,disturbed,10843
scott,scot,10828
gegeten,ate,10810
echtgenoot,husband,10810
bedoeling,intention,10797
durf,dare,10793
trouw,fidelity,10787
bedenken,think about,10786
ergste,worst,10780
bedacht,suspicious,10779
tegenhouden,to prevent,10760
vermoordde,killed,10758
nachts,night,10756
vertrokken,left,10748
knul,kid,10737
engels,English,10721
start,Start,10711
favoriete,favourite,10710
persoonlijke,personal,10709
bepaalde,particular,10688
sommigen,some,10681
yeah,yeah,10679
momentje,just hold on,10670
medische,medical,10658
sexy,sexy,10644
burgemeester,mayor,10640
lee,lee,10638
officier,officer,10624
kussen,To kiss,10594
date,date,10579
ster,star,10577
gezocht,sought,10564
captain,captain,10554
wezen,being,10549
roep,call,10535
details,details,10531
zomer,summer,10498
dikke,thick,10496
ruikt,smells,10495
eigenaar,owner,10493
motor,engine,10491
universiteit,university,10490
hielp,helped,10488
kus,kiss,10478
luistert,listen,10475
gegevens,data,10472
claire,claire,10471
beveiliging,security,10458
nagedacht,thought,10457
lisa,Lisa,10455
gekozen,chosen,10453
betaalt,pays,10444
betekenen,mean,10435
verborgen,hidden,10430
publiek,public,10413
carrière,career,10408
tanden,teeth,10394
amy,Amy,10386
rapport,report,10384
super,super,10321
vrije,free,10319
geheimen,secrets,10305
opeens,suddenly,10303
beest,beast,10293
afgesproken,agreed to meet,10293
halve,half,10286
rijdt,drives,10280
belangrijkste,main,10254
kamp,camp,10229
leef,living,10218
washington,Washington,10209
steun,support,10203
afdeling,department,10191
honderd,hundred,10188
vorig,last,10166
rook,smoke,10164
boel,lot,10160
vecht,Vecht,10159
strand,beach,10139
jason,Jason,10134
magie,magic,10125
oplossing,solution,10113
type,type,10088
rusten,rest,10084
droeg,wore,10073
wellicht,perhaps,10071
beelden,images,10067
genaamd,called,10052
terugkomen,coming back,10051
voeren,feed,10043
waardeer,appreciate,10042
nauwelijks,barely,10026
bad,bath,10025
bieden,offer,10014
geïnteresseerd,interested,10007
verlaat,leaves,10001
duivel,devil,9993
overkomen,come across,9961
speelde,played,9958
pond,lb,9919
ballen,ball,9908
duizenden,thousands,9908
gedoe,soil,9906
city,City,9905
nerveus,nervous,9900
locatie,Location,9870
blik,look,9863
doelwit,target,9861
gekke,silly,9847
meegemaakt,experienced,9843
twintig,twenty,9813
emily,Emily,9812
klant,customer,9809
kerels,guy,9803
loog,lye,9793
post,post,9786
aangevallen,attacked,9786
oren,ear,9786
emma,Emma,9773
springen,to jump,9759
gevolgd,followed,9756
releases,releases,9732
lach,smile,9731
ontmoette,met,9730
zwak,weak,9721
engeland,England,9705
ziekte,disease,9704
sterren,stars,9699
kyle,kyle,9697
trekt,pulls,9691
toilet,toilet,9686
steen,stone,9678
logisch,logically,9674
landen,Nations,9673
geloofde,believed,9673
fouten,faults,9644
verwachten,to expect,9637
leo,leo,9613
dankbaar,satisfying,9586
veroorzaakt,causes,9580
duizend,thousand,9579
wow,wow,9577
aangedaan,affected,9574
andy,Andy,9572
jury,jury,9566
verslaan,defeat,9565
vangen,to catch,9551
christus,Christ,9545
maria,Mary,9544
testen,to test,9541
grens,border,9538
paniek,panic,9534
nogmaals,once again,9522
telefoontje,phone,9518
steken,stiches,9512
jesse,Jesse,9502
pete,pete,9489
ontsnapt,Escaped,9488
herinnert,remember,9478
paarden,horses,9467
vaders,fathers,9464
theorie,theory,9461
kleur,color,9459
prins,Prince,9457
vissen,fishing,9451
bron,source,9445
lid,member,9442
drank,drink,9440
vergadering,meeting,9433
gebleven,remained,9432
meerdere,multiple,9432
ondanks,despite,9431
machine,machine,9429
moeders,mothers,9429
signaal,signal,9418
geslapen,slept,9412
lijden,suffering,9412
stappen,to step,9407
carter,carter,9401
eeuwig,eternal,9398
vreselijke,terrible,9395
km,km,9386
matt,matt,9377
doodde,kill,9368
dik,fat,9368
verkoop,sale,9362
rechtbank,court of law,9346
harde,tough,9341
genezen,cured,9340
begrafenis,funeral,9310
veld,field,9309
straf,punishment,9300
uitgenodigd,invited,9284
laag,low,9281
grace,Grace,9278
kies,molar,9275
wiens,whose,9265
william,William,9263
schattig,cute,9263
dr.,Dr.,9256
schot,shot,9251
vijanden,enemies,9246
neuken,fuck,9240
broers,brothers,9227
jagen,to hunt,9224
tevreden,satisfied,9218
gaven,give,9217
taart,pie,9211
domme,stupid,9200
flat,flat,9178
manieren,manners,9175
afmaken,finish up,9163
vriendelijk,friendly,9158
san,san,9157
sterker,stronger,9154
vluchten,to flee,9150
pers,press,9149
project,project,9142
st,stem,9134
vertrekt,leaves,9132
belang,interest,9130
frankrijk,France,9130
lukken,work,9119
geschoten,shot,9109
prinses,princess,9099
zwaard,sword,9096
aandoen,to put on,9094
arthur,Arthur,9089
annie,Annie,9088
makkelijker,easier,9084
gedragen,to behave,9074
bende,gang,9073
ernstig,serious,9072
gezond,healthy,9062
jouwe,yours,9051
vingers,fingers,9044
las,weld,9042
arresteren,to arrest,8994
tuin,garden,8993
ideeën,ideas,8991
korte,short,8979
gelaten,resistant,8970
sean,Sean,8969
duitse,German,8960
vrijdag,Friday,8950
opstaan,rise,8950
kunst,art,8944
sterke,strong,8944
afscheid,goodbye,8934
menselijke,human,8924
minister,minister,8920
clark,clark,8919
coach,coach,8916
verboden,forbidden,8915
kelder,cellar,8887
gezelschap,company,8871
bijvoorbeeld,for example,8849
achtergelaten,abandoned,8846
duur,expensive,8844
compleet,completely,8844
to,to,8838
eng,scary,8838
toeval,chance,8836
snapt,gets,8831
hiervan,thus,8829
miljoenen,millions,8826
simon,Simon,8815
jerry,Jerry,8815
war,war,8809
melk,milk,8804
kelly,Kelly,8804
lui,lazy,8800
genieten,to enjoy,8798
aannemen,take,8786
uitstekend,excellent,8782
tegenover,opposite,8781
dichterbij,closer,8780
chicago,chicago,8779
kocht,bought,8779
stuurt,steering,8772
volle,full,8752
schijnt,appears,8742
lenen,to lend,8727
moed,courage,8710
alice,Alice,8691
vergissing,mistake,8686
patiënten,patient,8673
toon,tone,8668
normale,normal,8667
broeder,brother,8663
kaarten,Cards,8662
films,films,8638
reizen,to travel,8635
ruim,roomy,8635
herinneringen,memories,8632
gedachte,thought,8621
saai,boring,8610
joey,Joey,8607
roken,to smoke,8605
truck,truck,8586
gaaf,great,8584
tegenwoordig,nowadays,8571
kwestie,matter,8570
zette,set,8563
opzij,sidewalk,8560
gaande,going on,8560
omgeving,environment,8551
kip,chicken,8548
verstopt,constipated,8545
leerde,learned,8542
vanochtend,this morning,8541
kast,closet,8535
officieel,officially,8533
aanbod,offer,8527
sms,text message,8520
vernietigd,destroyed,8511
verliest,loses,8508
menselijk,human,8502
contract,contract,8494
lady,lady,8489
mooiste,most beautiful,8485
flink,considerable,8483
majesteit,majesty,8483
cia,C.I.A,8480
carl,Carl,8479
sukkel,softy,8473
stopte,stopped,8467
haalde,gathered,8465
verdiend,earned,8464
genoegen,pleasure,8447
senator,senator,8439
buren,neighbors,8438
alan,Alan,8434
internet,internet,8430
vloer,floor,8424
zwemmen,swimming,8423
taylor,Taylor,8421
bedoeld,meant,8421
opgesloten,locked up,8420
ontslag,dismissal,8411
bekijk,look at,8401
borst,chest,8399
schreeuwen,shout,8397
bevalt,pleases,8395
hoger,higher,8394
blanke,White person,8384
redenen,reasons,8376
harder,harder,8373
ed,Ed,8372
ontvoerd,abducted,8364
vasthouden,to hold,8364
dave,Dave,8356
lucy,Lucy,8355
behandelen,to treat,8345
berg,mountain,8342
noorden,north,8336
opgeven,to report,8330
bepaald,certain,8319
spelletje,game,8310
maatje,Buddy,8302
daardoor,thereby,8296
omstandigheden,circumstances,8288
opgelost,dissolved,8281
heus,real,8275
koken,Cook,8275
vingerafdrukken,fingerprints,8269
trut,bitch,8266
eenvoudig,simple,8264
hiervoor,for this,8262
stukken,pieces,8255
tent,tent,8255
pauze,pause,8254
raden,to guess,8254
roepen,call,8252
leugenaar,liar,8239
bek,beak,8238
vervangen,to replace,8233
alarm,alarm,8233
interesse,interest,8232
talent,talent,8232
bereikt,reaches,8230
amerikanen,Americans,8218
kanker,cancer,8210
ted,ted,8210
aangezien,as,8202
beslissen,decide,8201
des,des,8200
rose,rose,8194
cadeau,gift,8187
mexico,Mexico,8176
kerst,Christmas,8173
louis,Louis,8172
invloed,influence,8156
geheugen,memory,8155
station,station,8147
doorheen,through,8142
vogel,bird,8140
verantwoordelijkheid,responsibility,8136
pillen,pills,8135
rome,Rome,8132
diner,dinner,8131
besluit,decision,8129
vlug,rapid,8124
deuren,doors,8108
woonde,lived,8105
west,west,8101
huh,huh,8099
verstand,mind,8091
moeilijke,difficult,8090
juffrouw,lady,8087
bescherming,protection,8078
quality,quality,8065
stilte,Silence,8058
bak,bin,8052
papier,paper,8047
erom,about,8047
volledige,sufficient,8043
zojuist,just now,8040
kilo,kilo,8038
chuck,chuck,8037
vormen,forms,8033
vaarwel,farewell,8025
storm,storm,8020
hoed,hat,8018
leugen,lie,8014
ambulance,ambulance,8013
opgenomen,Hospitalized,8003
beslist,specifically,8003
pizza,Pizza,7986
verdween,disappeared,7986
ontdekken,to discover,7985
eenheid,unit,7980
verzoek,request,7979
overtuigen,convince,7979
militaire,military,7963
kogels,bullets,7963
toegeven,to admit,7951
smith,smith,7944
gedronken,drunk,7942
high,high,7935
quantity,quantity,7931
gekeken,looked,7924
phil,Phil,7921
cent,penny,7919
punten,points,7915
reet,ass,7914
garage,garage,7912
vrees,fear,7909
big,pig,7909
kluis,safe,7909
slaapkamer,bedroom,7905
vandoor,off,7904
wit,white,7900
bezoeken,visits,7888
politiek,politics,7887
mogelijkheid,opportunity,7876
vertrok,departure,7868
jackson,Jackson,7866
verdomd,damn,7859
vervelend,annoying,7852
vs,US,7845
rekenen,to calculate,7824
klap,hole,7809
aanbieden,offer,7805
abby,abby,7805
streek,region,7804
zaterdag,Saturday,7798
uwe,yours,7797
zicht,view,7795
jones,Jones,7785
elf,eleven,7782
gewend,accustomed,7771
reactie,response,7768
jazeker,"Yes, of course",7763
blauw,blue,7761
herken,to recognise,7758
verbonden,connected,7758
reken,calculation,7756
schoonheid,beauty,7749
ho,hor,7742
hank,hank,7742
klus,job,7741
verandering,change,7733
vermoordt,killed,7724
accepteren,accept,7702
biertje,beer,7700
roger,Roger,7695
helen,heal,7694
gebouwd,built,7693
aankomen,arrive,7691
trok,pulled,7687
larry,Larry,7680
verhuizen,moving away,7659
waarde,where the,7657
troep,rubbish,7655
kust,coast,7646
graf,grave,7642
dans,dance,7641
verdediging,defense,7641
bleek,pale,7633
taal,language,7631
grotere,greater,7628
dier,animal,7625
aanklacht,indictment,7624
overheid,government,7619
wed,waving,7609
lossen,unload,7604
huizen,houses,7602
uiteraard,naturally,7595
gerust,restless,7591
manager,manager,7587
verdedigen,to defend,7587
valse,false,7585
lieten,let,7582
westen,West,7570
amper,barely,7569
bekeken,Viewed,7567
stal,stable,7566
job,Job,7562
maakten,made,7550
niveau,level,7547
binnenkomen,enter,7529
poging,attempt,7520
behandeld,treated,7518
overtuigd,convinced,7516
gewacht,waited,7515
stroom,flow,7513
wetenschap,science,7508
momenteel,currently,7507
wauw,Wow,7505
liedje,song,7504
vals,false,7500
vincent,Vincent,7497
onderzocht,investigated,7492
duurde,lasted,7492
lily,Lily,7490
josh,Josh,7486
keel,throat,7485
schepen,ships,7484
gouden,golden,7482
blind,blind,7481
achterlaten,leave behind,7473
gevangene,prisoner,7469
robin,Robin,7469
voordeel,benefit,7468
gevangenen,prison,7466
eieren,Eggs,7465
verbrand,burnt,7461
geduld,patience,7456
eeuw,century,7454
europa,Europe,7453
gescheiden,divorced,7445
snelheid,speed,7440
aardige,nicely,7438
gary,gary,7438
rotzooi,mess,7433
heette,was called,7432
brak,broke,7430
lichamen,bodies,7428
bidden,to pray,7416
natuur,nature,7412
maggie,maggia,7402
wijs,show,7401
buik,belly,7400
vinger,finger,7396
king,king,7392
gespeeld,played,7392
feiten,facts,7391
virus,virus,7387
ha,ha,7385
jeff,Jeff,7385
plus,plus,7377
groene,green,7372
bomen,trees,7360
personeel,staff,7354
patrick,Patrick,7353
karen,pile,7352
pakt,grabs,7352
plekken,spots,7351
commissaris,Commissioner,7350
sara,Sara,7349
zuiden,south,7345
rechten,right,7342
veranderde,changed,7342
stof,dust,7339
badkamer,bathroom,7339
leugens,lies,7337
zondag,Sunday,7337
erheen,there,7336
smaak,taste,7315
aanwezig,present,7308
leraar,teacher,7306
maandag,Monday,7306
verliet,left,7302
leefde,lived,7293
it,IT,7283
pakte,grabbed,7276
franse,French,7272
bergen,mountains,7268
duitsers,Germans,7268
woede,fury,7267
studeren,to study,7266
sliep,slept,7259
kleding,clothing,7252
stonden,stood,7245
troepen,troop,7240
eindigen,end,7236
feite,feite,7234
hemelsnaam,heaven's sake,7230
groeien,grow,7229
dean,Dean,7229
piloot,pilot,7228
geesten,ghost,7226
controleer,check,7223
verslag,report,7222
ex,ex,7213
julia,Julia,7209
heks,witch,7209
daarbij,thereby,7208
waarschuwen,warn,7206
julie,Julie,7205
victor,Victor,7198
jenny,Jenny,7192
melden,report,7190
elizabeth,Elizabeth,7189
oceaan,ocean,7186
gas,gas,7183
goden,gods,7183
mogelijke,possible,7181
voorlopig,for the time being,7179
verslagen,defeated,7178
gepland,planned,7165
verdacht,suspicious,7161
opgepakt,picked up,7160
susan,Susan,7144
privé,privately,7143
voren,forward,7138
stan,stan,7138
knappe,cleverly,7137
koffer,Suitcase,7137
zonde,shame,7135
naakt,naked,7131
neen,no,7128
plegen,commit,7111
excuus,excuse,7110
verrast,surprised,7105
dienen,serve,7104
graden,degree,7099
ongelofelijk,incredible,7097
haten,hate,7088
ervandoor,run,7086
opgewonden,agitated,7082
sterf,die,7080
dubbele,double,7076
tim,Tim,7076
boerderij,farm,7075
rijke,rich,7073
morgan,morgan,7068
bord,plate,7068
honderden,hundreds,7067
klootzakken,bastards,7067
herstellen,to recover,7063
schrijft,writes,7062
wc,WC,7061
ernaar,to it,7057
lord,Lord,7054
besloot,decided,7048
behandeling,therapy,7048
morgenochtend,tomorrow morning,7047
doc,doctrine,7047
orders,orders,7047
tong,tongue,7040
hitler,Hitler,7035
vanmiddag,this afternoon,7034
redt,saves,7033
ruil,exchange,7029
nathan,Nathan,7024
verklaren,to declare,7019
lieg,lie,6997
kim,Kim,6990
sync,sync,6986
leert,learns,6985
tegelijk,at the same time,6984
marine,navy,6976
champagne,Champagne,6964
liefste,Dear,6962
genade,grace,6956
chauffeur,driver,6956
wensen,wishes,6955
verdien,earn,6945
qoq,QoQ,6944
godverdomme,Goddamnit,6941
eenzaam,lonely,6931
wegens,due to,6923
voorstel,proposal,6921
gouverneur,governor,6920
graven,to dig,6915
terrein,grounds,6914
ontmoeting,meeting,6908
telt,counts,6894
handel,trade,6892
zwijgen,silence,6890
ademen,to breathe,6890
koos,koos,6886
um,um,6883
horloge,watch,6883
staten,states,6878
ronde,round,6874
daarover,about that,6864
verloofde,fiancé,6864
pot,pot,6861
donkere,dark,6854
afspraakje,date,6851
pensioen,pension,6851
vrolijk,cheerful,6840
poort,gate,6839
hoefde,needed,6837
gunst,favor,6837
artikel,article,6835
overval,anywhere,6834
belangrijker,more important,6830
netjes,decently,6828
knieën,knees,6826
slimme,smart,6822
aanraken,touch,6820
reputatie,reputation,6818
ontdekte,discover,6815
ruik,smell,6815
brood,bread,6814
russische,Russian,6813
vogels,birds,6810
partij,side,6808
verstoppen,to hide,6792
komst,arrival,6788
verdieping,floor,6787
dief,thief,6779
voorbeeld,sample,6777
geur,odor,6773
dichter,poet,6773
vliegveld,airport,6771
markt,market,6767
burgers,citizens,6765
centrum,Centre,6762
volgde,follow the,6759
ontzettend,horrible,6752
beer,bear,6752
alibi,alibi,6743
terugkomt,returns,6737
brieven,letters,6731
minstens,at least,6727
whisky,whiskey,6725
onschuldige,innocent,6722
stenen,stone,6719
universum,universe,6719
gezondheid,health,6716
daarheen,there,6710
wijze,wise,6695
britse,British,6690
b,b,6686
komende,up,6682
kerstmis,Christmas,6681
haven,port,6671
huur,rent,6670
plicht,duty,6667
assistent,assistant,6661
omgaan,To hang out,6657
ross,ross,6634
fan,fan,6634
materiaal,material,6628
laura,Laura,6625
hartelijk,warmly,6621
doug,Doug,6613
charlotte,Charlotte,6601
online,online,6600
onszelf,ourselves,6593
stelde,suggest,6591
shirt,shirt,6591
sally,Sally,6590
bevelen,command,6590
vergat,forgotten,6589
priester,priest,6580
meent,believes,6579
zelfde,same,6577
dossiers,files,6577
proost,cheers,6572
kloppen,to knock,6570
gekend,known,6563
vierde,fourth,6561
kaas,cheese,6559
opzoeken,to look up,6558
schrikken,to startle,6553
amanda,Amanda,6547
gepleegd,committed,6547
daarin,in there,6540
optreden,performance,6537
Nisan,Nisan,6536
veilige,safe,6532
marcus,Marcus,6532
beroep,profession,6530
black,black,6529
motief,motive,6523
molly,Molly,6519
betaalde,paid,6516
lucas,Lucas,6515
verderop,beyond,6514
jacht,hunt,6513
scheiden,divorce,6511
jeugd,youth,6511
lokale,local,6510
engel,angel,6501
kerstman,Santa Claus,6489
doei,bye,6484
toestand,status,6483
technologie,technology,6481
gebaseerd,based,6477
lichten,lights,6477
mars,Mars,6474
bovendien,moreover,6473
cijfers,Numbers,6472
bewaren,keep,6468
belofte,promise,6467
vertaald,translated,6464
teleurgesteld,disappointed,6461
vriendschap,friendship,6458
medelijden,pity,6453
fred,Fred,6451
chloe,chloe,6450
ramp,disaster,6440
vegas,vegas,6436
ren,run,6427
verzet,resists,6425
richten,to target,6423
steunen,supports,6423
wolf,Wolf,6421
advocaten,lawyers,6418
dwars,thwarted,6414
oefenen,to practise,6404
bezwaar,objection,6403
bevestigen,to confirm,6398
wijzen,ways,6394
china,China,6388
nachtmerrie,nightmare,6381
jackie,Jackie,6376
groen,green,6370
minst,least,6360
eindigt,ends,6358
verkoopt,sells,6356
zwembad,swimming pool,6356
verdriet,sorrow,6355
winter,winter,6353
afgesloten,locked,6348
geheel,whole,6346
min,minus,6345
verwijderd,deleted,6340
donder,Thunder,6340
mobiel,mobile,6331
monsters,samples,6329
okee,okay,6327
interesseert,interested,6326
leden,members,6322
gooide,threw,6318
muren,walls,6315
koers,course,6308
nat,wet,6306
bekende,known person,6305
waarheen,where to,6293
hierin,in here,6292
uniform,uniform,6289
voorbereid,prepared,6284
wild,wild,6283
regen,rain,6273
drinkt,drinks,6253
studenten,students,6237
bepalen,determine,6236
briefje,note,6222
fuck,fuck,6216
berichten,messages,6211
gok,gamble,6205
voldoende,Enough,6203
samenwerken,collaborate,6201
lekkere,tasty,6195
ruiken,to smell,6193
klok,clock,6193
duitsland,Germany,6188
gemeenschap,community,6187
redelijk,reasonable,6185
wezens,beings,6184
echter,however,6184
getekend,signed,6171
overwinning,victory,6165
rebecca,rebecca,6156
klonk,sounded,6156
onderwerp,topic,6156
verklaart,explains,6155
olie,oil,6155
bewust,consciously,6149
bemanning,crew,6148
tellen,to count,6142
degenen,the ones,6141
overkomt,happens,6138
vertrouwt,trust,6137
hang,halt,6137
tyler,tyler,6133
schoten,shot,6131
seconde,second,6127
geldt,applies,6125
delict,crime,6119
gibbs,gibbs,6118
groeten,regards,6114
maag,stomach,6114
beantwoorden,reply,6112
allerlei,all kinds of,6110
wandelen,to walk,6109
howard,Howard,6104
waarschuwing,warning,6098
gewaarschuwd,warned,6086
begreep,understood,6082
johnson,Johnson,6081
kist,chest,6079
barry,Barry,6075
middelbare,middle,6064
jay,Jay,6064
michelle,Michelle,6058
training,training,6057
texas,Texas,6052
pik,cock,6052
race,race,6051
geliefde,lover,6038
nationale,national,6023
gedeelte,section,6018
wassen,Wash,6009
verwachtte,expected,6009
scheelt,saves,6007
ophangen,hang up,6005
douche,shower,6003
greg,greeg,6001
reageren,react,5998
zwijg,be silent,5995
alcohol,alcohol,5988
stoor,interference,5984
verdiende,deserved,5983
gave,gift,5970
sprong,plunge,5970
bewakers,guards,5963
aangenomen,accepted,5958
model,fashion model,5957
data,dates,5956
oor,ear,5954
hi,Hi,5954
jeetje,Oh dear,5939
spelletjes,games,5939
noch,nor,5938
wedden,bet,5937
meedoen,participate,5933
winst,gain,5921
gereed,ready,5920
middag,afternoon,5915
lijf,body,5915
oliver,Oliver,5907
donna,Donna,5901
onthouden,to remember,5899
daarop,thereon,5886
identiteit,identity,5884
crimineel,criminal,5880
openbaar,public,5879
verpesten,to bully,5874
moordenaars,murderers,5869
bewaker,guardian,5867
andrew,Andrew,5866
beloofde,promised,5863
gods,God,5860
zowel,both,5860
media,media,5856
angela,Angela,5855
letten,look,5850
breekt,breaks,5849
sprake,talk,5849
kansen,chances,5847
explosie,explosion,5846
indrukwekkend,impressive,5846
plotseling,suddenly,5844
schutter,shooter,5844
hekel,dislike,5841
fort,fort,5839
ingewikkeld,complicated,5837
lied,song,5837
vriendinnen,girlfriends,5833
besef,realize,5830
spiegel,mirror,5826
gevochten,fought,5823
lege,empty,5819
onlangs,recently,5817
stand,stand,5815
woestijn,desert,5809
gedwongen,forced,5806
russen,Russians,5805
jamie,jamie,5805
idioten,idiots,5799
gezellig,cozy,5799
lunchen,having lunch,5795
hielden,kept,5794
cooper,shard,5793
seizoen,season,5790
resultaten,Results,5788
pagina,page,5786
frans,French,5780
vlieg,fly,5780
bril,glasses,5779
spannend,exciting,5776
doodt,kills,5774
mensheid,humanity,5774
botten,bone,5773
busje,van,5771
herinnering,memory,5771
olivia,Olivia,5767
kaartje,card,5763
pop,dolly,5760
verschuldigd,owed,5759
gesteld,faulty,5755
hee,hey,5750
tweeën,two,5750
zielig,pathetic,5749
my,mine,5746
terry,terry,5746
parker,parker,5745
hal,hall,5737
letterlijk,literally,5730
banden,tyres,5730
route,route,5729
vliegt,flies,5723
walgelijk,disgusting,5722
gegooid,thrown,5718
smerig,filthy,5714
verwijderen,remove,5713
uitzien,look,5708
beweegt,Moves,5708
hierover,here,5707
mannetje,male,5706
genie,genius,5705
burger,civilian,5702
bedreiging,threat,5699
lef,gut,5690
wilson,Wilson,5689
vlakbij,near,5686
gevolgen,implications,5686
gedag,goodbye,5683
ontslaan,fire,5683
nummers,numbers,5682
verzamelen,collect,5680
jongeman,young man,5678
huiswerk,Homework,5677
house,house,5675
koude,cold,5668
verontschuldigen,to apologize,5667
gevaarlijke,dangerous,5666
lelijk,ugly,5666
verbaasd,suprised,5659
vuil,filthy,5643
ondertussen,meanwhile,5642
gelukkige,happy,5640
leest,is reading,5639
at,ate,5635
cole,Cole,5628
verplaatsen,move,5625
starten,start,5624
gerechtigheid,justice,5624
onderdeel,element,5624
wijst,wage,5622
rick,Rick,5618
ls,LS,5616
afrika,Africa,5611
scheiding,parting,5606
lewis,Lewis,5604
linda,Linda,5603
nate,nate,5603
welnee,no,5602
partners,partners,5598
hoogste,high,5597
snijden,to cut,5596
soorten,types,5595
touw,rope,5595
zijde,silk,5592
ellende,trouble,5590
harvey,Harvey,5589
nep,fake,5587
joden,Jew,5578
klagen,complain,5576
zacht,soft,5572
aap,monkey,5569
won,won,5569
dringend,urgently,5568
teruggaan,going back,5568
eisen,requirements,5566
veroordeeld,convicted,5561
neerschieten,shoot down,5560
vloek,curse,5560
stijl,style,5554
smeek,grubbing,5550
rand,edge,5549
verrader,traitor,5547
tel,count,5547
romantisch,romantic,5546
zorgde,took care,5542
gordon,gordon,5542
stelletje,bunch of,5541
hersens,brain,5541
verdwijnt,disappears,5540
middelen,resources,5538
roept,calls,5535
bruce,bruce,5535
leveren,to deliver,5534
dekking,coverage,5534
onthoud,Remember,5532
hof,court,5530
toby,Toby,5528
politieke,political,5528
cheque,check,5527
schaduw,shadow,5522
kasteel,castle,5520
lagen,lay,5516
dertig,thirty,5511
branden,to burn,5509
leidde,led,5509
resultaat,result,5507
catherine,Catherine,5503
aangekomen,arrived,5500
constant,constantly,5498
hannah,Hannah,5495
waarbij,whereby,5494
wanhopig,in despair,5491
verkracht,rap,5491
jessica,Jessica,5490
winnaar,winner,5483
waardeloos,worthless,5480
merken,brands,5478
californië,California,5475
brown,brown,5475
doctor,doctor,5474
ongerust,worried,5474
snelle,fast,5468
